AccountId,Type,Email
785618385023,SECURITY,COI@loto-quebec.com
785618385023,BILLING,Courtageinfo@loto-quebec.com
785618385023,OPERATIONS,COI@loto-quebec.com
803495970473,BILLING,Courtageinfo@loto-quebec.com
803495970473,OPERATIONS,LQ-SupportReseau-Operations@loto-quebec.com
803495970473,SECURITY,LQ-SupportReseau-Operations@loto-quebec.com
837071763862,BILLING,Courtageinfo@loto-quebec.com
837071763862,OPERATIONS,LQ-PIA@loto-quebec.com
837071763862,SECURITY,LQ-PIA@loto-quebec.com
854875095626,SECURITY,LQ-PIA@loto-quebec.com
854875095626,BILLING,Courtageinfo@loto-quebec.com
854875095626,OPERATIONS,LQ-PIA@loto-quebec.com
899825857648,BILLING,Courtageinfo@loto-quebec.com
899825857648,OPERATIONS,LQ-PIA@loto-quebec.com
899825857648,SECURITY,LQ-PIA@loto-quebec.com
919961117148,OPERATIONS,COI@loto-quebec.com
919961117148,BILLING,Courtageinfo@loto-quebec.com
919961117148,SECURITY,COI@loto-quebec.com
962937838103,OPERATIONS,LQ-SupportReseau-Operations@loto-quebec.com
962937838103,SECURITY,LQ-SupportReseau-Operations@loto-quebec.com
962937838103,BILLING,Courtageinfo@loto-quebec.com
968307063865,SECURITY,LQ-SupportReseau-Operations@loto-quebec.com
968307063865,BILLING,Courtageinfo@loto-quebec.com
968307063865,OPERATIONS,LQ-SupportReseau-Operations@loto-quebec.com
986666168054,BILLING,Courtageinfo@loto-quebec.com
986666168054,SECURITY,LQ-PIA@loto-quebec.com
986666168054,OPERATIONS,LQ-PIA@loto-quebec.com
988577659003,SECURITY,LQ-SupportReseau-Operations@loto-quebec.com
988577659003,BILLING,Courtageinfo@loto-quebec.com
988577659003,OPERATIONS,LQ-SupportReseau-Operations@loto-quebec.com
